,City,Lat.,Lon.,Max. Temp.,Humidity,Cloudiness,Windspeed,Country,Date
0,Atuona,-9.8,-139.0333,300.27,76,100,8.1,PF,1618635174
1,Melbu,68.5044,14.8297,274.82,89,0,4.14,NO,1618635174
2,Ribeira Grande,38.5167,-28.7,290.71,92,95,7.71,PT,1618635175
3,Puerto Ayora,-0.7393,-90.3518,297.59,97,79,2.24,EC,1618635175
4,Teknāf,20.8624,92.3058,304.31,53,21,3.78,BD,1618635176
5,Tilichiki,60.4667,166.1,269.05,79,100,7.95,RU,1618635176
6,Ushuaia,-54.8,-68.3,279.15,81,75,2.06,AR,1618635127
7,Pemba,-12.974,40.5178,296.15,94,20,5.14,MZ,1618635176
8,Huazhou,21.6333,110.5833,302.18,61,86,4.25,CN,1618635177
9,Giohar,2.7809,45.5005,302.74,61,14,3.7,SO,1618635177
10,San Quintín,30.4833,-115.95,286.91,84,0,5.76,MX,1618635178
11,Pūranpur,28.5167,80.15,307.31,17,97,7.13,IN,1618635178
12,Srednekolymsk,67.45,153.6833,270.9,71,21,5.44,RU,1618635178
13,Saint-Philippe,-21.3585,55.7679,302.15,65,40,1.54,RE,1618635179
14,Beyneu,45.3167,55.2,291.97,37,0,4.06,KZ,1618635179
15,Kyra,49.5776,111.9753,286.46,20,10,4.75,RU,1618635180
16,Tual,-5.6667,132.75,301.94,69,63,5.94,ID,1618635180
18,Rikitea,-23.1203,-134.9692,298.56,67,100,4.45,PF,1618635181
19,Virtsu,58.5716,23.5115,278.71,51,95,4.02,EE,1618635181
20,Tasiilaq,65.6145,-37.6368,269.15,100,90,12.35,GL,1618635182
21,Bethel,41.3712,-73.414,278.15,84,88,4.18,US,1618635081
22,Bredasdorp,-34.5322,20.0403,280.15,93,1,1.03,ZA,1618635182
23,Hobyo,5.3505,48.5268,302.73,61,15,4.65,SO,1618635183
24,Peniche,39.3558,-9.3811,285.93,93,53,1.23,PT,1618635183
25,Springdale,36.1867,-94.1288,281.48,100,90,1.54,US,1618635183
26,Avarua,-21.2078,-159.775,298.15,88,40,2.57,CK,1618635184
27,Ahipara,-35.1667,173.1667,289.89,64,5,5.93,NZ,1618635184
28,Thanh Pho Uong Bi,21.0333,106.7833,296.15,94,75,5.66,VN,1618635184
29,Carnarvon,-24.8667,113.6333,302.38,38,1,2.28,AU,1618635185
30,Longyearbyen,78.2186,15.6401,263.15,67,20,6.69,SJ,1618635185
31,Vaini,-21.2,-175.2,299.15,69,75,2.57,TO,1618635186
32,Hatillo,18.4863,-66.8254,297.59,91,28,3.01,PR,1618635186
33,Nanortalik,60.1432,-45.2371,267.45,53,0,20.85,GL,1618635186
34,Kieta,-6.2167,155.6333,300.3,85,100,3.31,PG,1618635187
35,Bumba,2.1833,22.4667,295.19,93,96,1.58,CD,1618635187
36,Radcliff,37.8404,-85.9491,281.48,71,75,1.54,US,1618635187
37,Thompson,55.7435,-97.8558,275.15,60,40,1.56,CA,1618635188
38,Shenjiamen,29.9576,122.298,288.2,85,95,8.93,CN,1618635188
39,Albany,42.6001,-73.9662,277.59,76,98,2.6,US,1618635188
40,Castro,-24.7911,-50.0119,288.43,95,100,0.95,BR,1618635189
41,Faanui,-16.4833,-151.75,301.24,71,30,3.41,PF,1618635189
