,City,Lat.,Lon.,Max. Temp.,Humidity,Cloudiness,Windspeed,Country,Date
0,East London,-33.0153,27.9116,66.2,72,0,11.5,ZA,1618678922
1,Albany,42.6001,-73.9662,50.0,56,98,6.44,US,1618678757
2,Yanam,16.7333,82.2167,86.0,66,0,6.91,IN,1618678922
3,Bredasdorp,-34.5322,20.0403,64.4,77,24,5.75,ZA,1618678923
4,Ponta do Sol,32.6667,-17.1,68.0,53,83,5.99,PT,1618678923
5,Lorengau,-2.0226,147.2712,79.74,82,100,11.92,PG,1618678923
6,Ushuaia,-54.8,-68.3,53.6,54,75,13.8,AR,1618678738
7,New Norfolk,-42.7826,147.0587,55.0,79,99,1.99,AU,1618678924
8,Martapura,-3.4167,114.85,75.2,88,100,1.14,ID,1618678924
9,Rikitea,-23.1203,-134.9692,76.86,69,95,8.93,PF,1618678925
10,Puerto Ayora,-0.7393,-90.3518,80.6,78,40,9.22,EC,1618678925
12,Chokurdakh,70.6333,147.9167,11.77,87,89,9.24,RU,1618678926
13,Kaitangata,-46.2817,169.8464,54.0,64,92,1.99,NZ,1618678926
14,George Town,5.4112,100.3354,84.0,83,20,5.75,MY,1618678651
16,Shimoda,34.6667,138.95,62.01,92,100,1.99,JP,1618678927
17,Nelson Bay,-32.7167,152.15,55.0,100,90,9.22,AU,1618678927
18,Sørland,67.667,12.6934,41.67,83,7,15.26,NO,1618678927
19,Hobart,-42.8794,147.3294,55.4,62,75,17.27,AU,1618678928
20,Sungai Raya,0.7,108.9,77.34,85,100,4.74,ID,1618678928
21,Vaini,-21.2,-175.2,64.4,100,20,2.3,TO,1618678928
22,Busselton,-33.65,115.3333,57.99,86,1,8.63,AU,1618678929
23,Alofi,-19.0595,-169.9187,66.2,100,7,1.14,NU,1618678929
25,Kapaa,22.0752,-159.319,68.0,83,90,13.8,US,1618678785
26,Nikolskoye,59.7035,30.7861,53.6,26,0,13.42,RU,1618678930
27,Kiama,-34.6833,150.8667,54.0,85,79,7.29,AU,1618678930
28,Bluff,-46.6,168.3333,52.0,89,88,5.99,NZ,1618678930
29,Semarang,-6.9932,110.4203,76.32,85,100,2.89,ID,1618678902
30,Guerrero Negro,27.9769,-114.0611,63.16,64,31,17.22,MX,1618678931
31,Coyhaique,-45.5752,-72.0662,51.8,76,75,4.61,CL,1618678931
32,Ribeira Brava,32.65,-17.0667,68.0,74,81,1.99,PT,1618678931
33,Fortuna,40.5982,-124.1573,46.4,100,40,5.28,US,1618678657
34,Humberto de Campos,-2.5983,-43.4611,88.88,55,66,9.22,BR,1618678932
35,Portland,45.5234,-122.6762,68.0,33,0,1.99,US,1618678354
36,Batavia,41.85,-88.3126,55.99,50,1,6.91,US,1618678932
38,Novyy Karachay,43.8208,41.9032,45.37,96,100,2.73,RU,1618678933
39,Lompoc,34.6391,-120.4579,53.6,76,0,8.05,US,1618678928
40,Butaritari,3.0707,172.7902,81.81,77,82,6.64,KI,1618678662
41,Elko,41.0002,-115.5012,48.99,35,1,7.0,US,1618678818
42,Pangnirtung,66.1451,-65.7125,5.0,72,20,3.11,CA,1618678934
43,Meulaboh,4.1363,96.1285,78.03,83,46,3.58,ID,1618678934
44,Zhanakorgan,43.9098,67.2495,67.05,32,60,8.5,KZ,1618678934
45,Newport,51.5877,-2.9984,53.6,46,8,8.05,GB,1618678935
46,Bintulu,3.1667,113.0333,75.2,100,20,2.06,MY,1618678918
47,Khatanga,71.9667,102.5,3.13,96,100,8.39,RU,1618678935
48,Atuona,-9.8,-139.0333,80.4,74,77,17.2,PF,1618678855
49,Saint Paul Harbor,57.79,-152.4072,41.0,87,90,6.2,US,1618678936
50,Cam Ranh,11.9214,109.1591,80.6,78,40,8.05,VN,1618678936
51,Hilo,19.7297,-155.09,66.2,72,1,5.75,US,1618678835
53,Jamestown,42.097,-79.2353,45.0,87,90,4.61,US,1618678822
54,Arrondissement du Havre,49.5833,0.3333,50.0,53,0,14.97,FR,1618678937
55,Qaanaaq,77.484,-69.3632,-2.78,95,99,2.84,GL,1618678937
56,Port Alfred,-33.5906,26.891,70.02,63,33,21.34,ZA,1618678938
57,Whitehorse,60.7161,-135.0538,39.2,60,20,6.91,CA,1618678938
58,Khanbari,27.3747,87.2039,69.46,53,81,4.47,NP,1618678938
59,Cabedelo,-6.9811,-34.8339,80.6,89,40,13.8,BR,1618678690
60,Pevek,69.7008,170.3133,14.02,90,98,4.81,RU,1618678939
61,Flinders,-34.5833,150.8552,54.0,85,73,5.84,AU,1618678939
62,Palauig,15.435,119.9045,80.78,74,100,3.56,PH,1618678939
63,Barrow,71.2906,-156.7887,24.8,80,1,10.36,US,1618678903
65,Mitsamiouli,-11.3847,43.2844,81.07,76,100,8.81,KM,1618678940
66,Ballina,-28.8667,153.5667,60.8,82,90,11.5,AU,1618678940
68,Mataura,-46.1927,168.8643,52.0,89,99,5.99,NZ,1618678941
70,Peniche,39.3558,-9.3811,66.99,64,9,7.0,PT,1618678941
71,Yellowknife,62.456,-114.3525,28.0,80,20,2.3,CA,1618678691
72,Yulara,-25.2406,130.9889,57.2,51,0,8.05,AU,1618678942
73,Wagga Wagga,-35.1167,147.3667,41.0,93,21,1.36,AU,1618678942
74,Kamenka,51.3223,42.7678,46.0,89,99,1.92,RU,1618678943
75,Punta Arenas,-53.15,-70.9167,51.8,58,75,11.5,CL,1618678934
76,Águas Vermelhas,-15.7472,-41.46,86.9,30,23,3.58,BR,1618678943
77,Finschhafen,-6.6024,147.8681,79.39,81,98,9.28,PG,1618678943
81,Hermanus,-34.4187,19.2345,70.0,62,20,1.01,ZA,1618678944
84,Lagoa,39.05,-27.9833,61.92,91,22,19.39,PT,1618678945
85,Tasiilaq,65.6145,-37.6368,26.6,74,90,5.75,GL,1618678945
86,Santa Isabel Rio Negro,-0.4139,-65.0192,89.83,54,75,4.85,BR,1618678945
87,Dawei,14.0833,98.2,75.51,87,74,3.44,MM,1618678946
88,Cape Town,-33.9258,18.4232,69.8,49,0,6.91,ZA,1618678701
90,Castro,-24.7911,-50.0119,68.31,79,98,5.1,BR,1618678864
91,Narsaq,60.9167,-46.05,26.6,26,20,4.61,GL,1618678947
92,Iqaluit,63.7506,-68.5145,17.6,67,75,4.61,CA,1618678923
93,Itarema,-2.9248,-39.9167,84.94,67,68,13.96,BR,1618678947
94,Mar del Plata,-38.0023,-57.5575,71.6,78,75,4.61,AR,1618678800
96,Umm Kaddadah,13.6017,26.6876,85.33,5,27,11.18,SD,1618678948
98,Cabo San Lucas,22.8909,-109.9124,82.99,29,1,4.61,MX,1618678948
99,Buala,-8.145,159.5921,79.56,79,89,1.52,SB,1618678949
101,Pontes e Lacerda,-15.2261,-59.3353,90.84,50,3,1.83,BR,1618678949
102,City of San Pedro,14.35,121.0167,84.2,65,75,3.44,PH,1618678949
103,Ancud,-41.8697,-73.8203,60.01,88,0,6.91,CL,1618678950
104,Fort Nelson,58.8053,-122.7002,42.8,65,75,11.5,CA,1618678764
105,Chapais,49.7834,-74.8492,44.6,53,40,5.75,CA,1618678950
